testDateTime,startTime,endTime,downloadTime,dataSize,speed
16/11/2018 22:40:29,19026424,19030599,4175,26214400,50.231185628742516
16/11/2018 22:42:30,19146953,19151202,4249,26214400,49.35636620381266
16/11/2018 22:42:38,19155227,19159400,4173,26214400,50.25526000479271
16/11/2018 22:42:45,19162140,19166389,4249,26214400,49.35636620381266
16/11/2018 22:42:53,19169980,19174148,4168,26214400,50.31554702495202
16/11/2018 22:42:59,19176779,19181034,4255,26214400,49.28676850763807
16/11/2018 22:45:29,19326352,19330524,4172,26214400,50.26730584851391
